aFec,bFec,qFec,sC,segg,spg,scoregg,Rec12,Bsp12,Bsp13,Bsp14,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,ark,brk,sigRrk,scorrk,nllRrk,abh,bbh,sigRbh,scorbh,nllRbh,ahs,bhs,ghs,sigRhs,scorhs,nllRhs,neglnL,Rec1982,Rec2001,SSB1982,SSB2001,Bloss
0.77445,1.7801,1.3578,0.22993,0.57443,0.5262,0.40391,5002700,1627900,1561700,1430000,3574700,952330,560470,1048100,1790700,634450,280620,243930,277600,2921100,0.0064801,0.035107,0.036131,0.049576,0.049873,0.076694,0.078491,0.080847,0.068672,0.084027,0.081761,4.0822,4.6306E-07,0.63535,0.56901,27.996,3545000,232500,0.62085,0.55165,27.326,0.90349,2076200,2058.2,0.69948,0.63474,30.784,118.42,67343000,21095000,1857100,677070,677070
0.80102,1.6154,1.1312,0.22479,0.54257,0.55262,0.55838,2981800,1290300,1169500,1014000,2077600,578650,352860,698980,1248800,461210,201480,179420,208930,2202900,0.0090789,0.049491,0.048828,0.068562,0.065576,0.089976,0.092367,0.11098,0.083979,0.10121,0.10905,2.6972,3.0661E-07,0.65951,0.6126,29.078,3562100,676280,0.646,0.60192,28.478,0.79422,2345300,2315.7,0.69837,0.64161,30.738,118.55,90420000,19074000,1798200,654150,654150
0.80249,1.4543,1.4592,0.29255,0.45373,0.5647,0.58682,355650,659170,395890,236460,133070,41210,23025,38931,73391,24839,12496,17947,29469,1052100,0.03517,0.32716,0.24404,0.36328,0.3989,0.39295,0.46538,0.40733,0.22406,0.23944,0.17144,1.3363,9.588E-08,0.94616,0.80833,39.544,6107300,3011700,0.96314,0.81624,40.06,0.60146,2464600,1809.3,0.93375,0.80619,39.161,133.03,64518000,15533000,1676200,680180,236460
1.0392,0.59694,1.1038,0.24006,0.42583,0.5385,0.2488,1134100,1500700,1182300,936000,708990,205300,140050,276240,513800,199410,95934,98660,135620,3221800,0.017159,0.099543,0.098869,0.12115,0.13807,0.15605,0.15255,0.1488,0.10423,0.09829,0.067917,2.2677,3.046E-07,0.8717,0.78029,37.167,2491200,60887,0.8542,0.77502,36.579,0.61411,2689300,2281.2,0.89631,0.78479,37.975,124.53,72451000,21873000,1953200,893970,893970
0.83996,1.6705,0.94229,0.24082,0.50572,0.54657,0.53229,2234100,1871900,1613200,1384800,1523700,449060,272340,544210,1127800,437930,214340,202060,256390,3941100,0.010858,0.06497,0.057269,0.078008,0.077972,0.071588,0.083822,0.086695,0.072861,0.075557,0.060547,4.6789,5.6187E-07,0.74365,0.70231,32.56,5782500,1513600,0.7908,0.72522,34.343,1.2022,1165600,2223.9,0.72435,0.68751,31.797,123.84,60041000,23931000,2180100,912270,912270
0.75616,1.7041,1.2454,0.23836,0.4579,0.54609,0.37106,1241100,1447700,1142800,902270,788200,211120,130730,283860,590290,227170,106620,108690,158390,2965900,0.016996,0.095275,0.10332,0.13123,0.11682,0.12107,0.14142,0.14731,0.10301,0.080492,0.083573,2.5385,3.5058E-07,0.86313,0.76935,36.881,2756000,155740,0.84314,0.75995,36.201,0.64718,2568000,2151.5,0.89784,0.77832,38.024,120.48,71279000,21588000,1711400,782910,782910
0.84593,1.5643,1.2168,0.24594,0.53591,0.53486,0.47463,3994000,1425000,1330500,1184700,2827500,766350,432380,855700,1441700,523360,226480,200900,247840,2515600,0.0077461,0.040491,0.044162,0.065106,0.053256,0.092894,0.084431,0.10023,0.076622,0.075852,0.099488,3.3552,3.8947E-07,0.65499,0.59857,28.878,3923700,747850,0.64464,0.58892,28.416,0.87282,2107500,2096.7,0.70674,0.64531,31.084,122.98,77265000,19962000,1650600,618420,618420
0.78955,1.8719,1.4917,0.23242,0.5346,0.52692,0.53834,1285200,783680,616640,474170,820900,227440,145980,284050,471370,182800,83601,77978,97445,1280400,0.016947,0.10483,0.095999,0.12836,0.13067,0.19665,0.15569,0.18203,0.13947,0.15113,0.15312,2.1287,2.5376E-07,0.73524,0.69192,32.23,4572400,1723600,0.73511,0.69384,32.225,0.73244,2355100,1863.3,0.73893,0.68555,32.375,119,66720000,15995000,1918500,611500,474170
0.79383,1.714,1.2699,0.26516,0.56251,0.55378,0.38921,4667900,1644500,1529100,1383600,3326700,840570,472800,859710,1472900,569240,262290,221160,265890,3168100,0.0075402,0.03709,0.043079,0.061203,0.06446,0.086509,0.0622,0.071908,0.089768,0.079744,0.069948,4.6402,5.3787E-07,0.6486,0.59333,28.594,3387300,278160,0.63868,0.57909,28.147,1.5528,942990,2027,0.6275,0.56872,27.635,128.44,56842000,21344000,2205900,764960,764960
0.90783,0.99451,1.5132,0.25314,0.60493,0.54488,0.51489,1807300,1632000,1364600,1132400,1207600,397290,242530,471040,910310,366910,173950,172980,225540,3257400,0.012054,0.074215,0.055963,0.095182,0.087111,0.096343,0.094017,0.11062,0.063162,0.081851,0.084721,3.1563,4.0286E-07,0.76131,0.72525,33.24,3176100,168890,0.74427,0.71315,32.584,0.69396,2532800,2265.6,0.81357,0.74472,35.166,126.85,66581000,22724000,2236700,872150,872150
0.80068,1.6482,1.015,0.24435,0.52025,0.54574,0.40018,3999000,2035500,1821600,1613400,2831100,716500,404650,760850,1458200,563260,266110,256250,316070,4207800,0.0082601,0.04029,0.046749,0.068634,0.063671,0.068073,0.067089,0.069171,0.053844,0.073653,0.059077,3.1947,3.5091E-07,0.6924,0.63827,30.489,3635900,377860,0.67366,0.6199,29.693,0.73309,2570300,2672.8,0.7551,0.68456,33.003,123.36,88688000,25196000,2125600,913080,913080
0.92845,0.81396,1.4753,0.23725,0.4816,0.541,0.4647,922790,864520,629580,457370,552500,145420,80881,166150,326820,126050,62541,62597,89156,1513900,0.022233,0.13414,0.13224,0.19961,0.17029,0.19853,0.20076,0.1846,0.15266,0.13812,0.14335,1.741,1.9684E-07,0.82791,0.74591,35.673,5302400,2632200,0.82797,0.74678,35.675,0.63502,2652000,2027.9,0.82432,0.73916,35.547,122.07,72058000,17092000,1952600,691150,457370
0.77991,1.7877,1.8747,0.23315,0.5234,0.59893,0.38056,1527000,691600,543680,421160,999990,246390,142370,272030,473910,175260,79240,68975,86159,1065800,0.016944,0.091847,0.093574,0.14918,0.13782,0.19342,0.16749,0.18225,0.17032,0.16755,0.16865,2.6521,3.5217E-07,0.74562,0.68525,32.637,3723200,983040,0.74316,0.6881,32.541,0.90434,1548800,1490.1,0.75644,0.68179,33.054,122.06,48659000,15254000,1730300,537380,421160
0.88047,1.5181,1.7698,0.2265,0.58533,0.53708,0.44839,2807400,778030,725950,635550,1948400,525810,311380,561730,973670,344130,142070,112140,120650,1110300,0.010496,0.059028,0.055568,0.079031,0.092078,0.11549,0.12392,0.15812,0.15144,0.16287,0.15856,3.0462,3.7339E-07,0.63686,0.57355,28.064,3454100,627560,0.63185,0.57715,27.835,0.93255,1891200,1696.5,0.66471,0.58627,29.305,119.95,62857000,14752000,1736700,525990,525990
0.77033,1.8296,1.4041,0.23227,0.54178,0.53448,0.37751,1676600,1538300,1276200,1057000,1110800,305870,196300,402110,779650,296610,146240,141770,188270,3207600,0.013617,0.080281,0.080714,0.096175,0.093813,0.11533,0.11539,0.10737,0.091782,0.082498,0.072283,2.9846,0.000000399,0.79863,0.73819,34.628,2975800,144840,0.77954,0.72645,33.927,0.69117,2458200,2147,0.84459,0.7548,36.251,118.96,66948000,22031000,1907000,802500,802500
