Bsp_1982,Bsp_1983,Bsp_1984,Bsp_1985,Bsp_1986,Bsp_1987,Bsp_1988,Bsp_1989,Bsp_1990,Bsp_1991,Bsp_1992,Bsp_1993,Bsp_1994,Bsp_1995,Bsp_1996,Bsp_1997,Bsp_1998,Bsp_1999,Bsp_2000,Bsp_2001,Bsp_2002,Bsp_2003,Bsp_2004,Bsp_2005,Bsp_2006,Bsp_2007,Bsp_2008,Bsp_2009,Bsp_2010,Bsp_2011,Bsp_2012,Bsp_2013,Bsp_2014,Rec_1982,Rec_1983,Rec_1984,Rec_1985,Rec_1986,Rec_1987,Rec_1988,Rec_1989,Rec_1990,Rec_1991,Rec_1992,Rec_1993,Rec_1994,Rec_1995,Rec_1996,Rec_1997,Rec_1998,Rec_1999,Rec_2000,Rec_2001,Rec_2002,Rec_2003,Rec_2004,Rec_2005,Rec_2006,Rec_2007,Rec_2008,Rec_2009,Rec_2010,Rec_2011,Rec_2012
1509700,1492700,1387700,2455700,3230400,3881600,4436200,4088400,3457800,3306800,2723900,2549700,2111800,1588600,1416700,1197000,990030,936470,867080,599720,739150,849470,1103000,1655800,1734600,1661300,1851000,2001100,1690600,1662400,1598400,1505100,1360700,72739000,506540,1435700,2612200,3756300,5118000,1946900,2081700,1813100,3310000,6084300,7204100,7556600,4427700,2429000,2128200,3501800,4390500,5104200,21258000,4895300,3945800,2197300,1524500,1367300,2413800,5203100,2417500,1026200,1371800,4017900
1933100,1876700,1647000,2481400,3057900,3498200,3933800,3563900,3047500,2855600,2313300,2132000,1827400,1430200,1323400,1142200,945460,874800,783680,515690,580810,589770,671120,912010,878420,779260,796170,774610,547890,419340,302930,186040,100270,58937000,531850,1577800,2824000,3933900,5214100,1993300,2099300,1816400,3287000,5973400,6951100,7123200,4105600,2126400,1710300,2661000,3074800,2892600,12155000,2880200,2030200,1018300,657400,528530,828970,1633600,660900,218940,230300,536980
1939300,1883800,1697900,2737500,3482000,4079900,4634600,4245500,3620600,3441400,2826600,2644600,2241100,1733000,1574400,1355000,1134700,1083900,1019000,720300,880790,984480,1258000,1864400,1949300,1863200,2099000,2309300,1982600,2000700,1976900,1974100,1869300,71869000,535390,1603100,2874000,3996900,5269500,2043700,2146000,1879000,3440700,6353800,7592800,8022000,4679000,2601600,2309600,3800300,4530000,5639800,22703000,5202400,4451100,2544200,1854400,1747700,3233300,7438000,3503400,1538200,2355100,7228500
1831200,1785800,1589800,2498300,3136800,3641800,4117100,3751900,3200500,3021300,2464700,2289400,1950800,1520200,1407400,1228600,1044800,1003100,938720,655790,801950,890280,1085100,1547200,1563800,1447200,1576100,1674700,1367500,1278000,1156700,1009000,853290,63370000,528060,1560300,2805300,3931500,5226000,2013700,2124200,1854600,3388300,6236900,7414100,7784300,4539500,2503800,2165600,3597600,4431800,4660400,18319000,4078100,3091000,1642500,1111600,993320,1675900,3575400,1608300,663340,823740,2176300
1641800,1615500,1463800,2423900,3107300,3666200,4165800,3817500,3247900,3088300,2535500,2373000,2016500,1577900,1495200,1360700,1240200,1280900,1287600,978760,1335800,1629000,2084200,3062800,3184700,3019400,3376400,3707300,3169100,3109400,2945400,2631400,2354200,66175000,520260,1523300,2764500,3923400,5248400,2054700,2175700,1936400,3610400,6830500,8478600,9328800,5591400,3439500,3270000,6202100,7885200,8733700,32595000,6782800,5505000,2858100,1843300,1629000,2806700,5936900,2571000,1111900,1591500,5038500
1937800,1884300,1687800,2678200,3381900,3942400,4470200,4087900,3493900,3316100,2721800,2546900,2179500,1713900,1605700,1437800,1273100,1280800,1262200,940630,1227100,1408300,1737200,2489200,2547800,2381000,2646300,2883600,2422100,2351300,2195600,1938400,1705700,68724000,538950,1629300,2927400,4065800,5331300,2100700,2199300,1951300,3618300,6797500,8346700,9047500,5367900,3180000,2908400,5617900,6059100,7110300,26112000,5616500,4457000,2315900,1552000,1355800,2331500,4750700,2093100,832840,1100800,3048700
1367200,1361700,1272400,2296900,3038400,3666400,4190500,3861700,3258100,3114400,2562100,2391600,1970600,1476000,1324500,1127600,946090,905130,843120,586520,739220,852820,1062400,1539500,1566600,1459500,1594300,1685600,1369400,1274200,1127300,932100,769550,69673000,496350,1376100,2521300,3674600,5069200,1918200,2065000,1798200,3285100,6044200,7162800,7521700,4437100,2451600,2128400,3812000,4454300,4766700,18752000,4100700,3077300,1607600,1050100,903100,1530600,3018500,1316400,521430,653300,2034100
1713200,1678400,1517600,2493700,3189600,3755200,4264700,3904600,3318700,3149700,2580000,2405200,2025100,1553300,1409400,1205100,1001000,943200,867690,594680,714730,777450,923030,1290600,1278600,1161800,1234700,1274100,992500,868880,722030,536160,391790,67388000,519830,1512000,2728000,3857900,5177200,1980000,2099600,1826800,3327700,6100800,7198800,7498700,4373000,2367400,1993800,3380600,3940300,3930900,15632000,3454400,2500600,1256400,807110,667950,1086100,2117300,848520,294700,337450,831190
1618600,1591600,1456000,2471700,3201800,3804700,4332700,3977900,3371100,3208600,2632900,2456000,2046100,1545300,1372500,1142200,913810,827950,730070,471670,526450,547700,665560,958890,967270,899880,970060,998970,795400,741240,685070,665740,594640,69694000,512220,1465600,2651300,3780100,5121300,1937600,2065200,1784100,3227600,5857600,6791000,6946100,4007800,2056800,1668400,2466600,3030400,3180700,13834000,3386900,2629100,1476500,1032100,950470,1721700,3798600,1749800,738880,1004200,3113000
2211800,2132000,1913900,3019800,3814700,4443900,5048500,4627100,3964500,3776500,3113200,2927800,2511300,1978300,1833300,1628600,1424600,1424500,1406600,1054900,1355600,1530100,1853400,2609800,2639700,2432600,2681300,2922800,2431600,2309800,2102200,1782900,1536300,76584000,557000,1733700,3096200,4225300,5436900,2172600,2250400,2005900,3729100,7026600,8681700,9442500,5568100,3330500,3056300,5684900,6503400,7339300,26095000,5312000,4158400,2142800,1399600,1143600,1919400,3908700,1652000,634620,801950,2637800
